questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Varón de 45 años, contador, soltero, caracterizado por familia y amigos como buen trabajador, retraído, 
desconfiado y poco expresivo. Su discurso es circunstancial y excesivamente elaborado. Cree que sus 
compañeros lo envidian, aunque no sabe explicar la razón. Frecuenta pocas personas, con las que comparte 
intereses sobre terraplanismo. Cree que el COVID-19 es producto de las antenas 5G. ¿Cuál es el trastorno de la 
personalidad más probable?",Histriónica,Anancástica,Limítrofe,Esquizotípica,Evitativa,D
¿A qué trastorno son más propensos los niños nacidos de madres sometidas a estrés durante la gestación?,Alto peso al nacer,Hiperactividad,Somnolencia,Hipotensión,Inteligencia superior,B
"De los siguientes fármacos, ¿cuál tiene mayor probabilidad de prolongar el intervalo QT en el electrocardiograma?",Ziprasidona,Amisulprida,Aripiprazol,Quetiapina,Risperidona,A
"Mujer de 24 años, recepcionista. Unos 4 días antes del inicio de las menstruaciones experimenta irritabilidad, 
cambios de humor bruscos, hipersomnia, sobrealimentación, intensa falta de energía y desinterés por actividades 
placenteras; esto desaparece en la semana posterior a la menstruación. Con mayor probabilidad, tiene un trastorno 
...",depresivo mayor.,de somatización.,de personalidad.,disociativo crónico.,disfórico premenstrual.,E
"Según el modelo ..., los trastornos mentales se originan en conflictos psicológicos inconscientes.",conductual,sinestésico,psicodinámico,cognitivo,ontogénico,C
"Niño de 5 años, presenta mal comportamiento en su casa; la madre refiere que es desobediente y que hace 
berrinches con frecuencia. Cuando se lo contradice grita, se tira al suelo, rompe cosas y patea. Tiene buen 
rendimiento escolar, aunque en oportunidades no obedece las órdenes del profesor. ¿Cuál es el diagnóstico más 
probable?",Trastorno de conducta,Trastorno oposicionista desafiante,Depresión infantil,Síndrome de Asperger,Trastorno por déficit atencional hiperactivo,B
¿Cuál es el trastorno que se manifiesta con anomalías en la percepción del tamaño y/o de la forma?,Dismorfofobias,Metamorfopsias,Sinestesias,Paraidolias,Escisiones,B
"Mujer de 31 años, publicista. Desde hace 5 años tiene episodios menores a dos semanas de hipoergia, aislamiento 
social, sentimientos de inferioridad y cavilaciones sobre el pasado; afirma que son ""el precio a pagar"" por otros 
periodos de excepcional creatividad, menores a una semana, con aumento de la energía, poca necesidad de 
sueño y gran sociabilidad. ¿Cuál es el diagnóstico más probable?",Inestabilidad,Psicosis,Ciclotimia,Disociación,Compulsión,C
"En estudios genéticos entre gemelos monocigóticos, la tasa de concordancia para trastornos del ánimo está entre 
...%.",70-90,10-26,50-59,24-48,14-35,A
"Mujer de 25 años, que afirma: ""en realidad estoy muerta. Mi cuerpo huele mal porque se está descomponiendo, 
como todo cadáver"". ¿Cuál es el síndrome presente?",Frégoli,Diógenes,Ganser,Korsakoff,Cotard,E
La alucinación visual conocida como ... consiste en verse a sí mismo como un doble reflejado en un cristal.,metagnosia,delirio,escenografía,fotomas,autoscopía,E
"¿Cómo se llama al impulso reducido de actuar y pensar, asociado con indiferencia por las consecuencias de la 
acción?",Atimia,Acatexis,Acinesia,Afasia,Abulia,E
"Abogado de 36 años, soltero; se siente limitado social y profesionalmente por su miedo a situaciones sociales 
que implican escrutinio o contacto con desconocidos. Desde el colegio tuvo miedo de sentir vergüenza 
en reuniones 
sociales, 
presentaciones orales, conocer a gente nueva y comer ante otras personas. ¿Cuál es el diagnóstico más probable?",Fobia simple,Dependencia,Esquizotipia,Ansiedad social,Pánico escénico,D
¿Cuál de los siguientes síntomas de la esquizofrenia corresponde a una de las cuatro A de Bleuler?,Aletargamiento,Ambivalencia,Ausencia,Apetitos,Alucinaciones,B
"Varón de 34 años, con diagnóstico de trastorno bipolar y mala respuesta a la medicación, en fase depresiva. 
Ingresó a emergencia por intento de suicidio (con planificación) con uso de arma de fuego; la ideación no cede a 
pesar del tratamiento farmacológico. En este caso es particularmente útil la terapia ...",psicodinámica.,cognitivo conductual.,familiar sistémica.,electroconvulsiva.,con esteroides.,D
