questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Qué mutación se observa en las formas hereditarias de carcinoma medular de tiroides?,BRAF,p-Catenina,TP53,RET,RAS,D
"Varón de 28 años acudió a su médico por diarrea intermitente. Se programaron y realizaron una endoscopia alta 
y una colonoscopia. Las biopsias revelaron agregados linfocitarios transmurales y granulomas no caseificantes 
ocasionales. ¿De dónde probablemente se tomó la biopsia?",Estómago,Colon ascendente,Duodeno,Esófago,Recto,B
"Niño de 6 años se le diagnostica síndrome de Denys-Drash. ¿Cuál es la neoplasia que tiene mayor riesgo a 
desarrollar?",Tumor de Wilms,Neuroblastoma,Feocromocitoma,Retinoblastoma,Sarcoma de Ewing,A
"¿Cuál de las siguientes lesiones, si está presente en una biopsia de mama, se asocia con un riesgo levemente 
mayor de desarrollar carcinoma invasivo durante la vida de una mujer?",Ectasia del conducto,Fibroadenoma,Cambio fibroquístico no proliferativo,Metaplasia apocrina,Adenosis esclerosante,E
"Lactante de 6 meses, presenta sinusitis bacteriana recurrente, otitis media y neumonía. El estudio analítico revela 
marcada disminución de linfocitos B periféricos, células plasmáticas e inmunoglobulinas séricas. ¿El pediatra 
sospecha que este bebé probablemente tenga cuál de los siguientes trastornos?",Inmunodeficiencia variable común,Síndrome de DiGeorge,Agammaglobulinemia de Bruton,Síndrome de hiper-IgM,Inmunodeficiencia combinada grave,C
"Niño 8 años, refiere dolor progresivo en la ingle derecha de hace 1 semana. Al examen ganglios linfáticos 
tumefactos y dolorosos. AP revela centros germinales grandes de tamaño variables que contienen numerosas 
mitosis. hay múltiples neutrófilos parafoliculares y sinusoidales. ¿Cuál es el diagnóstico más probable?",Toxoplasmosis,Linfadenitis aguda,Leucemia linfoblástica aguda,Enfermedad por arañazo de gato,Linfoma folicular,B
¿Cuál es el tumor óseo benigno que se localiza con mayor frecuencia en la epífisis?,Osteoblastoma,Condroblastoma,Osteoma osteoide,Encondroma,Displasia fibrosa,B
"Mujer de 41 años con antecedentes de tiroiditis de Hashimoto que requiere terapia de reemplazo, acude a su 
médico por dolor epigástrico punzante que se produce de forma intermitente. No está asociado con el esfuerzo y 
no tiene dificultad para respirar con el dolor. La biopsia gástrica revela infiltrado linfocítico en mucosa y una 
disminución del número de células parietales. ¿Cuál es la patología de mayor riesgo en su condición actual?",Tumor del estroma gastrointestinal,Meningitis,Anemia megaloblástica,Cirrosis del hígado,Pielonefritis crónica,C
"Residente de patología está examinando una lámina del íleon distal bajo el microscopio. El segmento de intestino 
delgado se obtuvo en la necropsia de un varón de 56 años que falleció repentinamente en su domicilio y que tenía 
antecedentes de hipertensión y diabetes mellitus. En la submucosa, identifica numerosos grupos grandes de 
linfocitos. ¿Cuál fue la causa más probable de la muerte?",Enfermedad arterial coronaria aterosclerótica,Leucemia linfocítica aguda,Linfoma de Hodgkin,Linfoma folicular,Glioblastoma multiforme,A
"¿Cuál de los siguientes patrones de lesión glomerular es común en pacientes con infección por VIH y pacientes 
con anemia de células falciformes?",Glomerulonefritis membranoproliferativa,Glomerulopatía membranosa,Enfermedad de cambios mínimos,Glomerulonefritis rápidamente progresiva,Glomeruloesclerosis focal y segmentaria,E
