questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál es un efecto adverso relacionado al empleo del catéter en la anestesia epidural?,Anestesia prolongada,Lumbalgia,Trastornos de la micción,Perforación de la duramadre,Mayor dolor,D
¿Por qué se caracteriza el efecto de los halogenados en la hemodinámica intracardiaca?,Aumentan la contractilidad,Tiene escasos efectos sobre la resistencia,No,No modifican la circulación coronaria,El isoflurano es el menos vasodilatador,B
¿Cuál es el agente anestésico que disminuye el flujo sanguíneo cerebral?,Propofol,Óxido nitroso,Halotano,Enflurano,Ketamina,A
"Gestante 38 semanas considerada como categoría inmediata, con diagnóstico de procidencia de cordón umbilical 
y SF",Epidural con catéter,Epidural sin catéter,Espinal,Epidural con catéter previo y luego retirarlo,General,E
"Hombre 40 años que sufre accidente de tránsito, está inconsciente, no responde a estímulos verbales ni físicos, 
ventilación espontánea débil y presenta signos de bradicardia. ¿Qué clasificación ASA le corresponde?",II,III,IV,I,O,C
"¿Cuál es el fármaco que, al ser usado en un cuadro de shock séptico, incrementa la presión arterial, disminuye los 
niveles de lactato y genera mínimo incremento de la contractibilidad?",Dopamina,Fenilefrina,Adrenalina,Noradrenalina,Dobutamina,B
¿Cuál es un medicamento que no cambia el tono del esfínter esofágico inferior?,Propofol,Atracurio,Tiopental,Succinilcolina,Pancuronio,B
"Paciente senil, sometido a una cirugía de cadera. Evaluación: Mallampati II, ASA II; pH arterial: 7.29, HCO3: 19 
mEq/l y PaCO2: 40 mmHg. ¿En qué estado se encuentra y qué recomendaría?",Acidosis metabólica con compensación aguda,"Paciente normal, se opera","Acidosis metabólica no compensada, estabilizar","Alcalosis respiratoria, se suspende cirugía","Acidosis metabólica pura, se opera",C
¿Qué fármaco tiene efecto hipercalemiante?,Succinilcolina,Teofilina,Alfa bloqueantes,Fluorcortisona,Levodopa,A
La difusión de los medicamentos entre la madre y el feto se rige por los principios de la ley de…,Poiseuille,La Place,La Complace,De Boyle,Fick,E
"¿A qué fase del capnograma corresponde ""la meseta alveolar""?",II,I,0,IV,III,E
"En la visita preanestésica, se debe evaluar la vía aérea. ¿Cuál es predictor de una vía aérea difícil?",Mallampati I,Distancia tiromentoniana >6.5 cm,Antecedente de ser fumador,Paciente delgado,Apertura bucal < 3 cm (distancia interincisivos),E
"¿Cuál es la relación cristaloide/coloide en el esquema de reposición de volemia, tras una hemorragia aguda con 
una pérdida de 30 %?",2:1,1:2,4:1,1:1,3:1,D
¿De qué depende la duración de la raquianestesia?,Adición de corticoide,Osmolaridad,Sexo,Edad,Peso,B
¿Cuál es el agente anestésico que aumenta la presión intracraneana?,Pentotal,Etomidato,Propofol,Sevoflurano,Fentanil,D
¿En qué condición se da la anestesia en tablero de ajedrez?,Disminución de las aferencias nociceptivas,Concentración insuficiente del anestésico local,Uso de lidocaína pura,No colocar catéter,Uso combinado de anestésico,B
¿Qué factor etiológico aumenta la PEt CO2?,Hiperventilación,Hipotensión arterial,Apnea,Hipotiroidismo,Hipoventilación,E
¿Cuál es una ventaja del circuito abierto de la máquina de anestesia?,Rápida constante de tiempo,Elevada constante de tiempo,Menos contaminación atmosférica,Humidificación de gases,Calentamiento de gases,A
"¿Cuál es el fármaco antiemético cuya dosis es de 4 a 8 mg, se administra al final de cirugía y tiene como efectos 
adversos cefalea?",Dexametasona,Droperidol,Dimenhidrinato,Ondasetron,Escopolamina,D
¿Quien ejerce un efecto estimulante en el tránsito intestinal?,Anticolinérgicos,Catecolaminas,Gangliopléjicos,Anestesia medular,Anestésicos halogenados,D
¿Por qué se caracterizan las alteraciones de la función renal producidas por tipo de anestesia?,Los opioides no modifican la función renal,Los agentes halogenados disminuyen menos la,Los benzodiacepinas aumentan la velocidad de,La ketamina es inocua,La anestesia regional afecta más que la,B
"¿Cuál es el Grado o Clase en la Escala de Evaluación tiromentoniana para la intubación endotraqueal, en un 
paciente que tiene 6?3 cm de longitud?",B. Clase I,C. Clase II 1/2,D. Clase III,E. Clase III 1/2,A. Clase II,E
"El propofol en la inducción anestésica, se asocia a dolor en el punto de la inyección, pudiendo producir 
tromboflebitis de manera infrecuente. ¿De qué forma podría disminuir el dolor?",Escogiendo una vena del dorso de la mano,No administrar propofol,Distrayendo al paciente,Colocando en una vena de miembros inferiores,Colocando lidocaína antes de administrar el,E
"En una paciente que usa anticoagulantes orales que va a ser sometida a cesárea con anestesia regional. ¿Cuál 
es la recomendación respecto a los anticoagulantes?",Suspender >3 días,Tomar el mismo día,Última toma >4 horas,Última dosis >12 horas,No se suspende,A
¿Cuáles son los factores que causan náuseas y vómitos en el postoperatorio?,Contracción del esfínter esofágico inferior,Contracción del píloro,"Parálisis gastrointestinal, acúmulo de gases y",Aumento del flujo sanguíneo esplácnico,Disminución de la presión intracraneal,C
¿Cuál es el fármaco que disminuye el tono del esfínter esofágico inferior?,Fentanilo,Succinilcolina,Pancuronio,Neostigmina,Pancuronio,A
"¿A qué tipo farmacológico en la clasificación de los hipnoanalgésicos opioides, pertenece el remifentanil?",Natural,Semi sintético,Morfiniano,Fenilpiperina,Antagónico,D
¿Cuál es el fármaco derivado de la fenciclidina que produce anestesia disociativa?,Etomidato,Nimodipina,Nicardipina,Remifentanil,Ketamina,E
¿Cuál es la vida media de eliminación plasmática en el adulto de la lidocaína?,4 horas,7 horas,2 horas,5 horas,8 horas,C
¿Cuál de los siguientes es un método no invasivo para evaluar la función cerebral?,Flujometría laser doppler,Presión de perfusión cerebral,Saturación de O2 venosa cerebral,PO2 cerebral,Espectroscopia infrarroja cercana,E
El MAC (Concentración alveolar mínima) del sevorfourona es:,1.6,6.0,0.75,1.2,2.0,E
