questions,option_A,option_B,option_C,option_D,option_E,correct_answer
¿Cuál es el tipo histológico más frecuente del cáncer de pene?,Eritroplasia de Queyrat,Carcinoma fusiforme,Carcinoma epidermoide,Leiomiosarcoma,Rabdomiosarcoma,C
"Neonato varón en quien se reporta cordón umbilical con una sola arteria. ¿Cuál de las siguientes patologías está 
asociada a este hallazgo?",Agenesia renal unilateral,Riñón poliquístico,Hipoplasia renal bilateral,Hipodisplasia renal,Displasia quística renal,A
"Espermatograma: concentración de espermatozoides 21 millones/ml, movilidad espermática: 20% de movilidad 
progresiva, morfología: 20% de formas normales. ¿Cuál es el diagnóstico?",Normozoospermia,Teratozoospermia,Oligozoospermia,Astenozoospermia,Necrozoospermia,D
¿Cuál de las siguientes alternativas es una característica de la enuresis nocturna en la infancia?,Generalmente es de tipo secundaria,Más frecuente en niñas,Rara vez existe antecedente familiar,Usualmente persiste hasta adultez,La monosintomática es más frecuente,E
"¿Cuál de los siguientes antibióticos no es aconsejable utilizar en mujeres jóvenes para el tratamiento de ITU, 
probablemente debido a su actividad frente al Lactobacillus de la flora vaginal?",Nitrofurantoina,Fosfomicina trometamol,Levofloxacino,Amoxicilina-clavulánico,Ampicilina-sulbactam,D
¿Cuál es el cáncer más frecuente en hombres en el Perú?,Próstata,Renal,Estómago,Testicular,Pulmón,A
¿Cuál es una característica de la tuberculosis genitourinaria en adolescentes?,Causa frecuentemente epididimitis u orquitis,Se manifiesta como nódulo doloroso en escroto,Es común la afectación del glande,Es frecuente las manifestaciones sistémicas,Se presenta mayormente en prepúberes,A
"Varón de 58 años con cistoscopía de una tumoración exofítica vesical, retrotrigonal, de aprox. 2cm. Se realiza una RTU-
vejiga, con resultado anatomopatológico: carcinoma de células transicionales que invade la lámina propia, no se 
evidencia fibras musculares en la muestra. ¿Cuál es la conducta más adecuada a realizar?",Dosaje de BTA - TRAK en orina,Iniciar quimioterapia intravesical,Iniciar inmunoterapia vesical,Realizar una segunda RTU - vejiga,Realizar cistoscopía de control,D
"Varón de 71 años con episodio de hematuria franca y dolor lumbar derecho, UROTEM con contraste: Tumor sólido de 
8 cm con base en tercio medio de riñón derecho, limitado a riñón, grasa perirrenal sin alteraciones, presencia de trombo 
tumoral en vena renal, no linfadenomegalias, no metástasis a distancia ¿Qué clasificación TNM le corresponde?","T2a, N0, M0","T3b, N0, M0","T3a, N0, M0","T2b, N0, M0","T3c, N0, M0",C
"Mujer de 67 años, sin comorbilidades, refiere urgencia miccional con escape de orina, polaquiuria y nicturia. Ecografía 
sin alteraciones. Urodinamia: presencia de contracciones involuntarias del detrusor durante la fase de llenado asociadas 
a escape de orina. ¿Cuál es el fármaco de elección?",Tamsulosina,Solifenacina,Alfuzosina,Mononurol,Macrodantina,B
