questions,option_A,option_B,option_C,option_D,correct_answer
"En la Disfunción eréctil psicógena, el componente de ansiedad de ejecución tiene relación con:",Un inicio lento y progresivo,Asociación de catecolaminas elevadas en sangre,Tratamiento antidepresivo con inhibidores selectivos de la recaptación de serotonina,El tipo de pareja que tiene el paciente,B
"¿Cuál de los siguientes estudios radiológicos de próstata informa sobre: volumen, anormalidades focales y guía para 
biopsia y que se solicita en pacientes con infertilidad en caso de obstrucción?",RMN multiparamétrica de próstata,Ecografía transrectal de próstata,TC de pelvis,Ecografía de próstata transabdominal,B
"En pacientes en los cuales la bacteriuria no se resuelve después del tratamiento antibiótico apropiado o en los que se 
produce una recidiva rápida de la infección. ¿Cuál de las siguientes patologías está asociada?",Prostatitis bacteriana crónica,HBP,Estrechez uretral,Estenosis de meato,A
"Mujer de 65 años que acude a consulta por pérdida involuntaria de orina al esfuerzo, asociado a urgencia 
miccional. Ecografía Renovesical sin alteraciones. ¿Cuál es el paso a seguir?",Cistoscopía,Urodinamia,Tratamiento antiincontinencia,Láser vaginal,A
"Mujer de 22 años. Acude por lumbalgia izquierda de intensidad 8/10. Antecedente: caída en moto. Examen: PA 110/70 
mmHg, FC 95X', FR 25X', Hb 10.1 g/dl, Plaquetas 250000/µl, Ex orina: no leucocituria, no hematuria. Urotem: Hematoma 
retroperitoneal de aprox 100 ml con laceración en tercio medio renal izquierdo de 1 cm, no extravasación de contraste. 
¿Cuál es la conducta a seguir?",Microembolización selectiva,Laparoscopia exploratoria,Lumbotomía,Vigilancia activa,D
"Varón de 50 años, hace 9 meses con primer Trasplante renal. Cursa con hallazgo ecográfico de lito de 4 mm en cáliz 
medio de injerto. ¿Cuál es la conducta adecuada?",Manejo endoscópico,Citrato de potasio,Observación con ecografías seriadas,Descarte de infecciones recurrentes,C
¿Qué estudio mejora el valor predictivo positivo del TR para cáncer de próstata?,PSA,RMN de próstata,PCA3 en orina,Fosfatasa alcalina,A
"¿En qué edad en años, las infecciones urinarias son más frecuentes en varones que en mujeres?",2 - 3,5 - 10,> 15,< 1,D
En los niños con reflujo vesicoureteral las infecciones urinarias recurrentes ocurren en 45% y está relacionada con ...,prematuridad.,baja ingesta de agua.,fimosis.,disfunción vesical y/o intestinal.,D
De las neoplasias urológicas comunes. ¿Cuál es la más letal y que representa el 2 a 3% de todos los cánceres en adultos?,Leiomiosarcoma,Nefroma quístico,Carcinoma de células renales,Carcinoma de células escamosas,C
"En una ecografía transrectal en escala de grises, los focos hipoecoicos deben considerarse sugestivos de:",Prostatitis,Cálculo prostático,Quiste prostático,Adenocarcinoma de próstata,D
"Varón de 35 años, acude por retención aguda de orina de 6 horas de evolución y con globo vesical, refiere hematuria 
terminal e intermitencia desde hace 1 semana. ¿Cuál es la primera sospecha?",Tumor uretral,Litiasis vesical,Valvas anteriores,Prostatitis aguda,B
En el tratamiento endoscópico de la ureterolitiasis. ¿Cuál es considerada una complicación catastrófica?,Estenosis,Perforación,Avulsión,Cálculo submucoso perdido,C
En ureteroscopía. ¿En qué segmento puede ser necesario el uso de balón dilatador?,Uréter medio,Unión pieloureteral,Unión ureterovesical,Entrecruzamiento con los vasos ilíacos,C
Los varones con criptorquidia tienen ........ probabilidades de cancer testicular en el testículo afectado.,3 veces más,2 veces más,4 a 6 veces más,30% más,C
"Varón de 35 años, desde hace 1 año presenta herpes genital recurrente. ¿Cuál de los siguientes tratamientos episódicos 
está indicado?",Aciclovir 400 mg 3 v/24 h x 2 días,Aciclovir 800 mg 3v/24 h x 2 días,Valaciclovir 1 g 2v/24 h x 3 días,Famciclovir 1 g 2v/24 h x 2 días,B
"En el abordaje quirúrgico de trauma renal, el aislamiento vascular temprano...",debe realizarse luego de la apertura de la Gerota.,disminuye el riesgo de nefrectomía.,aumenta la posibilidad de lesión vascular.,es de mejor acceso por lumbotomía.,B
¿Cuál es la contraindicación para el manejo endoscópico de la estrechez ureteral?,Estrechez > de 2 cm longitud,Uso crónico de catéter doble J,Hallazgo durante ureteroscopía litotriptora con láser,Obstrucción significativa,A
Las valvas posteriores tienen como tratamiento inicial:,Vesicostomía,Ablación valvar por cistoscopía,Derivación ureterostomia en asa proximal,Nefrostomía bilateral,B
