questions,option_A,option_B,option_C,option_D,correct_answer
"Juana de 33 años, acude a la entrevista con su pareja; muestra al médico instrumentos con púas, correas, látigos 
y comenta que los usan para experimentar placer en sus técnicas sexuales. ¿Cuál es el diagnóstico más probable?",Hiperactividad,Masoquismo sexual,Froteurismo,Voyeurismo,B
"Varón de 32 años, con historia de relaciones interpersonales intensas e inestables, con esfuerzos desesperados para 
evitar el desamparo incluyendo autolesiones o amenazas suicidas, estallidos de ira ante frustraciones, sensación de vacío 
y alteraciones de la identidad. ¿Cuál es la psicoterapia con mayor evidencia empírica para este caso?",Familiar sistémica,Dialéctico conductual,Eneagrama,Psicoanalítica,B
"Varón 
de 
13 años, 
acude 
a emergencia 
por 
abuso 
sexual; 
según el 
protocolo 
de 
tratamiento 
multidisciplinario por directiva del 
MINSA, 
se 
cursa la 
interconsulta 
a 
Psiquiatría. 
Al 
examen no 
hay 
evidencia de trastornos mentales previos, ni ideas autolesivas, ni agitación psicomotriz. ¿Qué tratamiento indica?",Apoyo psicológico de emergencia,Clonazepam 2 mg cada 24 horas por 1 semana,Psicoterapia de afronte del evento traumático,Alprazolam 0.5 mg cada 12 horas por 3 días,A
¿Cuál es el inhibidor de la recaptación de serotonina que genera más interacciones medicamentosas?,Paroxetina,Desvenlafaxina,Sertralina,Escitalopram,A
"Rosa, puérpera de 20 días, con diagnóstico de esquizofrenia, que quiere amamantar a su hijo. ¿Cuál es la mejor 
indicación entre las presentes?",Sulpiride,Clozapina,Sertralina,Olanzapina,D
"Mujer de 39 años, ingeniera de sistemas; expresó tristeza por no ser aceptada por sus compañeros; cree que la temen 
por ser muy intuitiva respecto a los sentimientos y conductas ajenas, y que los fallos de la intranet de su trabajo ocurren 
por su gran energía psíquica; se desesperó al perder un amuleto de su mesa de trabajo, sólo tiene una amiga cercana. 
Examen mental: regular contacto visual, ropas limpias pero desaliñadas, afecto constreñido, discurso circunstancial. 
¿Cuál es el trastorno de personalidad más probable?",Pasivo,Anancástico,Esquizotípico,Obsesivo,C
¿Cuál es la alteración de las imágenes estructurales más frecuentemente observada en la depresión?,Hiperintensidad subcortical,Reducción ventricular,Hipointensidad talámica,Aumento del hipocampo,A
"Jean Pierre de 7 años, desde hace 2 años se enfada con facilidad, es resentido, discute y desafía a sus padres y maestros; 
es rencoroso y vengativo, provoca deliberadamente a otros y los culpa por su comportamiento. Al examen no presenta 
síntomas psicóticos ni de desregulación del ánimo. ¿Cuál es el trastorno más probable?",Ansiedad social,Bipolar,Ansiedad generalizada,Negavista desafiante,D
"Mujer de 27 años, abogada en un juzgado; debe revisar tres veces los expedientes antes de elevarlos a la juez, aunque 
sepa que el expediente está completo y correcto; lee al menos 4 veces al día el suplemento de normas legales de ""El 
Peruano"" para asegurarse de no omitir una nueva norma que le conscierna. ¿Cuál es el nombre de ésta conducta?",Animadversión,Saturación,Obsesión,Compulsión,D
"La decisión de hospitalizar a un paciente con anorexia nerviosa, en un hospital general, se basa en ...... y en la 
infraestructura necesaria para garantizar la cooperación del paciente.",ausencia de estigmas de desnutrición crónica,el índice de masa corporal mayor a 16,su condición médica,la cercanía a un Centro de Salud Mental Comunitaria (CSMC),C
"Varón de 28 años, conducido a la emergencia por la policía, no recuerda dónde ni con quienes estuvo bebiendo. 
Examen: aliento alcohólico, risa y llanto fáciles, torpeza motora y disartria pronunciada y nistagmus. No hay evidencia de 
lesiones ni otra patología. ¿Cuál es la concentración sanguínea de alcohol más probable, en mg/dl?",350,60,130,210,D
HM sufrió la resección del lóbulo temporal medial para aliviar su grave epilepsia. ¿Cuál es la secuela que se produjo?,Pensamiento concreto,Amnesia retrógrada,Alucinaciones auditivas,Despersonalización,B
"Varón de 87 años, sin antecedentes patológicos previos, en segundo día postoperatorio por fractura de fémur; desde 
hace 24 horas presenta alteración del nivel de conciencia y atención. ¿Cuál es el trastorno más probable?",Depresión mayor,Estrés postraumático,Delirium,Demencia,C
"A lo largo de la vida, los trastornos comórbidos más asociados con la bulimia y la anorexia nerviosa son:",Ansiedad generalizada y agorafobia,Narcolepsia y distimia,Dependencia de sustancias y desafiante oposicionista,Duelo y déficit de atención e hiperactividad,C
"Niño de 5 años, cuya madre lo lleva repetidamente a emergencia. Tiene historia vaga de consultas por condiciones no 
explicables por enfermedades, alergias, sustancias u otros; se la observa descalificadora con los médicos. ¿Cuál es el 
diagnóstico más probable?",Depresión infantil,Lupus eritematoso,Münchausen por poderes,Neumonía atópica,C
¿Cuál es la condición que puede producir un síndrome demencial potencialmente reversible?,Retraso mental leve,Uso de opiáceos,Demencia frontotemporal,Plumbismo,B
¿Cuáles son efectos secundarios del valproato de sodio?,Edema y amnesia,Caída de cabello y disartria,Insomnio y fuga de ideas,Impulsividad y hiperoralidad,B
"El trastorno por juego de azar es adictivo porque implementa un programa de reforzamiento que no permite reducir la 
...... del reforzador.",incertidumbre,aparición,apetencia,inhibición,A
El tratamiento de elección de la acatisia es:,Olanzapina,Antagonista adrenérgico,Escitalopram,Valproato,B
¿Cuál es el mejor tratamiento antidepresivo para una paciente con antecedente de síndrome coronario agudo?,Sertralina,Clomipramina,Paroxetina,Quetiapina,A
"Varón de 37 años, con diagnóstico de esquizofrenia, afirma: ""no quiero pensar a la fuerza en las noticias del periódico, 
en su relación con mis vecinos y con mi porvenir, en que si todo es o no un plan divino o maléfico o si los colores revelan 
el futuro. Son ellos, los demonios, los que meten esto en mi cabeza, aunque me resisto, pero me obligan"". ¿Cuál es el 
síntoma descrito?",Pasividad extrema,Inserción del pensamiento,Afecto aplanado,Sumisión mental,B
"Varón de 23 años, obrero, buen trabajador, vive con amigos, sin antecedentes; dos días después de un terremoto acudió a 
emergencia por un cuadro clínico de inicio brusco, con confusión, gritos y pedidos de ayuda. Ex. físico y auxiliares sin 
alteraciones. Ex. mental: confusión, ansiedad, ánimo lábil y alucinaciones auditivas (""Godzilla y Gidorah se pelean en mi 
mente y eso produce terremotos""). El cuadro remitió a los tres días, con el uso de risperidona 4 mg/día, sin secuelas. 
¿Cuál es el trastorno más probable?",Esquizofrenia simple,Episodio orgánico,Estado crepuscular,Psicótico breve,D
¿Cuál es la comorbilidad más frecuente del síndrome de Gilles de la Tourette?,Esquizofrenia,Retardo mental leve,Déficit de atención,Corea de Huntington,C
"Varón de 18 años, ingresado a emergencia por intoxicación con benzodiazepinas con intención suicida. Al examen, 
persiste la ideación suicida, pero solicita alta voluntaria. ¿Cuál la medida a seguir?",Rogar a familiares,Control por consulta externa,Firma de alta voluntaria,Hospitalización,D
"Trastorno donde una persona escapa de una situación vital estresante inmediata y comienza un modo de vida diferente, 
con un período de amnesia casi completa, pero con facultades y aptitudes mentales generalmente intactas. ¿Cuál es el 
diagnóstico?",Acting out,Bloqueo,Fuga,Nihilismo,C
"¿Cuál es el mecanismo de defensa inconsciente que incluye la segregación de procesos mentales o comportamentales 
del resto de las actividades psíquicas?",Fantasía,Humor,Altruismo,Disociación,D
"Médica de 51 años, maltrata a técnicos y pacientes cuando no responden como ella quiere; tiene actitudes seductoras 
cuando quiere que la atiendan antes que a otros colegas, pero se enoja y grita cuando no le hacen caso. Su calidad de 
trabajo es media; ella afirma que, a pesar de sus excepcionales capacidades, es injustamente desplazada de méritos y 
ascensos a favor de una colega suya que es elogiada por su buen trato, logros académicos y buen trabajo. ¿Cuál es el 
trastorno de personalidad más probable?",Antisocial,Histriónico,Obsesivo,Narcisista,D
"Pedro de 17 años, presenta deficiencias persistentes en comunicación, interacción social y reciprocidad socio emocional, 
con patrones restrictivos y repetitivos de comportamiento, intereses o actividades, inflexibilidad de rutinas 
e hiperreactividad a estímulos sensoriales desde el nacimiento. ¿Cuál es el trastorno más probable?",Sordera,Déficit de atención,Del espectro autista,Esquizofrenia,C
"Mujer de 46 años, empleada en fábrica, soltera, trabajadora, discreta, tímida pero de buen carácter; afirma que las 
canciones que se escuchan en la fábrica traen mensajes de amor de un popular cantante de salsa, pero que ella no puede 
corresponderle por ser casado, aunque tiene los mismos sentimientos. En los cartelones que anuncian sus espectáculos 
siempre hay mensajes ocultos para ella; una vez acudió a uno de sus conciertos, donde la hizo objeto de atenciones de 
modo secreto. ¿Cuál es el trastorno más probable?",Erotomanía,Narcisismo,Histeria,Somático,A
¿En qué se basa el diagnóstico del trastorno por déficit de atención e hiperactividad?,Spect cerebral,Reporte de profesores y compañeros,Pruebas psicológicas,"Evaluación clínica, reportes familiares y de maestros",D
"Varón de 55 años, refiere necesidades irrefrenables de dormir o hacer una siesta con cataplejia. En la polisomnografía 
nocturna presenta alteración del sueño REM inferior a 15 minutos. En líquido cefalorraquídeo se halló hipocretina. ¿Cuál 
es el diagnóstico más probable?",Narcolepsia,Epilepsia,Distimia,Conversión,A
"Varón de 47 años, refiere impulsos recurrentes de mostrar sus genitales a desconocidos de improviso, con excitación 
sexual al anticipar la exposición y orgasmo mediante la masturbación. ¿Cuál es el diagnóstico más probable?",Demencia,Sadismo,Voyeurismo,Exhibicionismo,D
