questions,option_A,option_B,option_C,option_D,correct_answer
"Varón de 24 años con hepatopatía inespecífica, disartria y movimientos coreiformes. Examen: agudeza visual 20/30 en 
ambos ojos. Depósitos de color pardo-amarillento en la membrana de Descemet de la córnea periférica de ambos ojos. 
Fondo de ojo normal ambos ojos. Ante la sospecha de un trastorno metabólico. ¿Cuál es la proteína plasmática 
deficiente?",α1- antitripsina,Ceruloplasmina,Ferritina,Tiamina,B
¿Cuál de los siguientes quistes es un hidrocistoma apocrino?,De Zeis,De Moll,Miliar,Dermoide,B
"Mujer de 70 años, PO3 de catarata. Examen: lente intraocular en surco, con ruptura de la cápsula posterior. Presión 
ocular de 30 mmHg en ojo operado. ¿Qué hipotensores oculares se deben evitar por el riesgo de edema macular 
cistoide?",Análogos de la prostaglandina,Betabloqueadores no selectivos,Inhibidores de la anhidrasa carbónica,Agentes parasimpaticomiméticos,A
¿Cuál es el patrón de herencia de la neuropatía óptica hereditaria de Leber?,De mutaciones del ADN mitocondrial,Ligado a cromosoma X (dominante),Por mutación del gen PAX6,Ligado a cromosoma X (recesivo),A
"Varón de 18 años con hipoacusia neurosensorial e insuficiencia renal crónica. Fondo de ojo: manchas punteadas 
amarillentas diseminadas por el área perimacular y moteado periférico. El ERG es normal. ¿Cuál es la lesión del 
cristalino que se puede asociar a la etiología más probable?",Luxación superior,Catarata “en árbol de navidad”,Catarata “en gota de aceite”,Lenticono anterior,D
"¿Cuál de las siguientes puede ser causa de una toma de presión intraocular artificialmente baja en la tonometría de 
aplanación?",Queratopatía en banda,Córnea central gruesa,Edema corneal,Obesidad,C
"En las uveítis, los precipitados queráticos suelen concentrarse en la parte inferior bajo un patrón denominado triángulo 
de Arlt. ¿Cuál es la uveítis que presenta precitados estrellados blancos grisáceos y es una excepción a esta regla?",Iridociclitis heterocrómica de Fuch,Uveítis anterior por Enfermedad de Crohn,Uveítis anterior por sarcoidosis,Oftalmía simpática,A
¿Qué tipo de desprendimiento de retina caracteriza a la enfermedad de Coats?,Traccional,Regmatógeno,Microquístico,Exudativo,D
¿Qué patología se asocia a malformaciones craneofaciales?,Coloboma papilar,Esclerosis tuberosa,Linfangioma,Dermoide límbico,D
¿A cuál de las estructuras de los fotorreceptores corresponde la zona elipsoide?,Cilio conector,Retículo endoplasmático rugoso,Mitocondria,Discos internos,C
"¿Cuál es el tratamiento más adecuado para la patología que se presenta con el signo de “faro en la niebla” en el fondo 
de ojo?",Levofloxacino,Penicilina,Aciclovir,Cotrimoxazol,D
"Varón de 7 años, acude por miodesopsias. Padres refieren que se golpea y tropieza constantemente. Examen: agudeza 
visual de cuenta dedos en ambos ojos. Escasa celularidad en cámara anterior. Fondo de ojo: ""copos de nieve"" y 
condensación inferior en vítreo anterior de ambos ojos. ¿Cuál es la etiología más probable?",Tenonitis,Parsplanitis,Iridociclitis,Escleritis posterior,B
"El neurofibroma plexiforme palpebral es considerado patognomónico de la neurofibromatosis tipo 1. ¿Cuál de las 
siguientes describe mejor esta tumoración?",Configuración en champiñon,Crepitación palpebral,Saco de gusanos,Retracción palpebral,C
La anomalía de morning glory puede presentar……en aproximadamente un tercio de los casos.,desprendimiento de retina regmatógeno,desprendimiento de retina traccional,desprendimiento de retina seroso,retinosquisis,C
¿En qué capa de la córnea se localiza la degeneración corneal senil en “piel de cocodrilo”?,Descemet,Bowman,Estroma,Endotelio,C
¿Hacia dónde se dirige el crecimiento exofítico de la retinoblastoma?,Gel vítreo,Espacio subretiniano,Cámara anterior,Espacio retrohialoideo,B
La angiografía con fluoresceína en la enfermedad de Vogt Koyanagi Harada en fase uveítica aguda se caracteriza por…,puntos hipofluorescentes multifocales en el epitelio pigmentario retiniano.,múltiples manchas hiperfluorescentes con extravasación subretiniana.,defectos ventana en el epitelio pigmentario de la retina.,la imagen en “humo de chimenea”.,B
¿Cuál de los siguientes microorganismos se asocia a blefaritis angular con más frecuencia?,Moraxella lacunata,Actinomyces israelii,Chlamydia trachomatis,Treponema pallidum,A
"Varón de 60 años, hipertenso mal controlado, con antecedente de macroaneurisma retiniano y cirugía de catarata con 
ruptura capsular en ojo derecho. Desde hace un mes visión borrosa en dicho ojo. Examen: Agudeza visual de ojo 
derecho en movimiento de manos y ojo izquierdo 20/20. Presión intraocular: ojo derecho 40mmHg, ojo izquierdo 
12mmHg. Partículas de color pardo rojizo en el humor acuoso de ojo derecho. Fondo de ojo: Hemorragia vítrea densa 
en ojo derecho. Sin alteraciones en ojo izquierdo. ¿Cuál es la patología más probable?",Síndrome endotelial iridocorneal,Glaucoma de células fantasma,Glaucoma traumático,Glaucoma secundario a invasión epitelial,B
¿Cuál de las siguientes cumple con las reglas de Lincoff?,"Cuando el líquido subretiniano cruza la línea media vertical por arriba, la rotura primaria está cerca de las 12 h.",Un desprendimiento de retina inferior plano más elevado en el lado temporal indica una rotura en el lado nasal.,Una rotura primaria localizada a las 6 h causará un desprendimiento de retina inferior asimétrico.,"En un desprendimiento de retina inferior bulloso, la rotura primaria suele estar por debajo del meridiano horizontal.",A
¿En cuál de las siguientes la agudeza visual puede mejorarse con una lente positiva?,Estafiloma posterior,Coriorretinopatía serosa central,Queratocono,Hiperglicemia,B
¿Qué tienen en común la iridociclitis por herpes virus y el síndrome de Posner-Schlossman?,Desprendimiento coroideo,Cierre angular agudo,Pseudoexfoliación,Uveítis hipertensiva,D
"Niño de 6 años con baja visión de ojo derecho. Examen: agudeza visual de ojo derecho cuenta dedos, ojo izquierdo 
20/20. Fondo de ojo: granuloma retiniano periférico con una banda vítrea que se extiende hasta la papila con vitritis y 
desprendimiento de retina traccional en ojo derecho; ojo izquierdo normal. ¿Cuál es el agente causal más probable?",Mycobacterium tuberculosis,Pneumocystis carinii,Toxocara canis,Cryptococcus neoformans,C
¿Cuál es la lesión que define la recesión angular?,"Desinserción de las fibras longitudinales del cuerpo ciliar, del espolón escleral",Ruptura zonular en el cuadrante súperotemporal,Desinserción de la raíz del iris en el cuadrante inferonasal,Ruptura entre las fibras longitudinales y las circulares del cuerpo ciliar,D
¿Qué hallazgo oftalmoscópico es compatible con telangiectasias perifoveales de tipo 2?,Microaneurismas y aneurismas acompañados de exudación crónica con depósito de lípidos,Oclusión progresiva de los capilares parafoveales con marcada dilatación aneurismática de los capilares terminales,Pérdida grisácea de la transparencia retiniana parafoveal bilateral y finos depósitos cristalinos superficiales,"Lesiones lineales con bordes dentados irregulares, que se intercomunican formando una especie de anillo peripapilar",C
¿Cuál es el adenoma más común de la glándula lagrimal?,Quístico,Epidermoide,Plexiforme,Pleomórfico,D
