questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Lactante de 1 mes 15 días presenta cuadro febril por proceso infeccioso viral, se le prescribe paracetamol. ¿Cuál es la 
dosis mínima potencialmente tóxica para este lactante?",25 mg/Kg,75 mg/Kg,200 mg/Kg,50 mg/Kg,150 mg/Kg,B
¿Cuál de las siguientes vacunas debe recibir la mujer en cada embarazo?,dTpa,Tétanos,Triple vírica,Varicela,Hepatitis B,A
"El carcinoma que se extiende fuera del cuello uterino, pero no a la pared pélvica, afecta la vagina, pero no hasta el 
tercio inferior, sin compromiso parametrial evidente. ¿A qué estadío de cáncer de cuello uterino corresponde?",II b,III a,III b,I b,II a,E
"Varón de 20 años que luego de sufrir accidente nadando en piscina, presenta dolor en hombro derecho con 
incapacidad funcional. Examen: PA: 110/80mmHg. FC: 110X', Sat. O2 99%, hombro derecho rotado internamente y 
muy doloroso a la movilización; traumatólogo diagnostica luxación anterior de hombro e indica su reducción. ¿Cuál es 
la posición del paciente y la maniobra más recomendada para la reducción?",Supina y tracción en abducción,Prona y tracción en abducción,Prona y tracción en aducción,Supina y tracción en aducción,Decúbito dorsal y tracción en abducción,A
Los bronquiolos terminales de pulmones sanos carecen de células...,ciliadas.,epiteliales simples.,musculares lisas.,de Clara.,caliciformes.,E
"Mujer de 16 años consulta por amenorrea primaria. Examen: pobre desarrollo de caracteres sexuales secundarios. La 
evaluación ecográfica muestra presencia de útero. ¿Cuál es el examen auxiliar que debe solicitarse a continuación 
para establecer el diagnóstico?",TSH,FSH,Cariotipo,Prolactina,TAC pélvica,B
"En lactantes de 2 años con acarosis, el compromiso cutáneo fundamentalmente es en:",Palmas y plantas,Muñecas,Región perineal,Glúteos,Pliegues axilares,A
"Varón de 68 años, 60 Kg de peso, refiere presentar hace 3 meses cefalea global en forma episódica, astenia, 
hiporexia, edema palpebral; con antecedente de hipertensión arterial no controlada. Funciones vitales: PA: 170/100 
mmHg, FC: 62X', FR: 20X', afebril. Laboratorio: Hto: 28%, creatinina: 3 mg/dl, úrea: 68 mg/dl. Sedimento urinario: 
leucocitos: 3-5/campo, hematíes: 15-18/campo. ¿Qué antihipertensivo elegiría?",Enalapril,Atenolol,Reserpina,Nifedipino,Hidroclorotiazida,D
"Mujer de 25 años sin antecedentes de importancia, desde hace 2 semanas malestar general, cansancio y rash en 
cuello, se agrega coluria e ictericia, niega otras molestias. Examen: discreta ictericia. Laboratorio: leucocitos 9250/µl, 
Hb 13.2 g/dl, ALT 1475 U/L, AST 1515 U/L, BT 4,29 mg/dl, BD 3,55 mg/dl, AgHBs negativo, Anti VHC negativo, Anti 
VHA Ig M negativo, ANA y ASMA negativos. Biopsia hepática: células plasmáticas con infiltración de los espacios 
porta y necrosis centrolobular. ¿Cuál es el diagnóstico?",Hepatitis alcohólica,Hepatitis crónica C,Hepatitis crónica B,Esteatosis hepática no alcohólica,Hepatitis autoinmune,E
En la insuficiencia renal aguda. ¿Cuál es el transtorno electrolítico que se encuentra?,Hipopotasemia,Hipocalcemia,Hipomagnesamia,Hiponatremia,Hipofosforemia,D
"Mujer de 50 años, obesa, diabética hace 10 años, hace 3 días presenta malestar general, astenia, hiporexia, fiebre 
precedida de escalofríos y desde ayer náuseas, vómitos en 8 oportunidades, dolor tipo cólico intenso. Examen de 
orina: leucocitos mas de 100/c, hematíes incontables y nitritos (+). ¿Cuál es la complicación más probable?",Necrosis papilar,Tromboembolismo venoso renal,Litiasis renal,Cistitis aguda,Cistitis hemorrágica,A
"¿Qué parámetro representa uno de los determinantes de la precarga en la curva presión-volumen de ventrículo 
izquierdo?",Presión al final de la sístole,Volumen al inicio de la diástole,Presión al inicio de la diástole,Volumen al final de la sístole,Volumen al final de la diástole,E
"La deficiencia de la vitamina B2 (Riboflavina), se caracteriza por...",hepatomegalia.,ageusia.,neuropatía periférica.,atrofia de las papilas linguales.,desorientación.,D
