questions,option_A,option_B,option_C,option_D,option_E,correct_answer
"Varón de15 años, estudiante de secundaria, ha subido 20 kilos en un año; tuvo episodios semanales de una o dos horas 
de duración con ingestión voraz de alimentos sin hambre, a escondidas, con sensación de falta de control, hasta sentirse 
desagradablemente lleno. Esto le causó malestar emocional. ¿Cuál es el trastorno más probable?",Anorexia nervosa,Facticio,Obesidad,Depresión,De atracones,E
¿Cuál de las siguientes alternativas contiene las cuatro A de Eugen Bleuler?,"Asociación, ansiedad, ambivalencia y alogia","Alogia, anhedonia, apatía y afectividad","Asociación, afectividad, autismo y ambivalencia","Autismo, abreacción, angustia y anhedonia","Abuso, apatía, abstinencia y ambivalencia",C
"Julia de 33 años, secretaria de un estudio jurídico, soltera, muy retraída, es enviada a consulta por agredir a un abogado 
cuando este negó que estuviera enamorado de ella. Muy llorosa, expresó: ""... X me ha mandado mensajes de amor 
desde hace 4 meses en cada escrito que me llegaba al escritorio, con sus miradas y su voz al darme órdenes... entiendo 
que el doctor tenía que disimular; la gente es chismosa... nadie más que yo lo sabía"". El abogado no trabaja en la misma 
área y sólo le da órdenes para coordinaciones con sus asistentes. ¿Cuál es el trastorno más probable?",Psicosis aguda,Celotipia,Catatonía,Erotomanía,Grandiosidad,D
"Gianinna de 45 años, profesional medianamente competente, afirma: ""soy una profesional A1, perfecta"". Piensa que 
sus compañeros y jefe son injustos porque no recibe los mismos elogios y premios que una colega suya, apreciada por 
su capacidad, conocimientos y buen trato. Si le hablan bien de su colega, se incomoda y la critica. Cuando 
las técnicas no complacen sus pedidos, grita que no quiere estar en un servicio mediocre. Para conseguir permisos o 
hacer gestiones adopta una actitud seductora, enojándose si no los obtiene. Habla constantemente de sus importantes 
amigos y su maravilloso matrimonio, aunque está divorciada y tiene compromisos ocasionales. ¿Cuál es el 
trastorno más probable?",Bipolar fase maniaca,Personalidad histriónica,Pseudología fantástica,Complejo de inferioridad,Personalidad narcisista,E
"Mujer de 87 años, usuaria de aspirina, con diagnóstico de demencia vascular. Los familiares consultan si pueden 
darle Gingko biloba para mejorar su memoria porque es una ""medicación natural y sin efectos adversos"". ¿Cuál es el 
riesgo principal de dicho preparado?",Arritmia,Sangrado,Somnolencia,Irritabilidad,Ataraxia,B
"En el modelo de inflamación y enfermedad, los pacientes con trastornos depresivos muestran alteraciones en su 
inmunidad. ¿Cuál de los siguientes hallazgos se encuentra en dichos pacientes?",Disminución de la interleukina 6 y 1b,Aumento de la actividad del linfocito natural killer,Aumento en la actividad de las plaquetas,Aumento en la expresión de las proteínas de fase,Disminución de las moléculas de adhesión,D
¿Cuál es el antidepresivo que cuenta con autorización para uso en dolor neuropático asociado a diabetes?,Venlafaxina,Fluoxetina,Duloxetina,Clonazepam,Moclobemida,C
"En un paciente deprimido e hipertenso. ¿Cuál es el antidepresivo por el que se debe monitorear con más cuidado la 
presión arterial y los hallazgos del electrocardiograma?",Fluoxetina,Duloxetina,Amitriptilina,Venlafaxina,Mirtazapina,D
"Mujer de 78 años, diabética, ama de casa (muy competente y activa, sociable y aficionada a la lectura) que es llevada 
a emergencia por sus hijos porque desde hace dos días cursa con desorientación en tiempo, cambios súbitos de ánimo, 
distractibilidad, olvido de medicamentos y agitación por las noches. El estado de la consciencia es fluctuante. 
Examen: piel y mucosas secas, resto no contributorio. Glicemia: 380mg/dL. ¿Cuál es el diagnóstico psiquiátrico más 
probable?",Disestesia,Delirium,Disociación,Depresión,Demencia,B
"Niña de 9 años que desde 3 meses antes de la evaluación experimentó ansiedad y desesperación ante imágenes 
mentales de cuchillos y navajas que intenta ignorar o suprimir sin éxito. El malestar empeoró hace dos meses; para 
aliviar la angustia, golpea la pared y una mesa. Si le impiden hacerlo, se angustia y llora hasta realizar la conducta. 
¿Cuál es el trastorno más probable?",De ansiedad social,Esquizofrenia,Autismo,Obsesivo compulsivo,Disociativo,D
