questions,option_A,option_B,option_C,option_D,correct_answer
"¿Cuál es el bloqueante neuromuscular no despolarizante compuesto de bencilisoquinolona con una duración clínica de 
acción corta?",Mivacurio,Succinilcolina,Atracurio,Vecuronio,A
"Durante la visita anestésica es importante que los pacientes sean estratificados por sus riesgos de tromboembolia 
venosa perioperatoria, ya que es un riesgo potencial en los pacientes hospitalizados, incluidos los pacientes 
quirúrgicos. ¿Cuál es el índice de valoración clínica para riesgo de TEV?",Child-Turcotte- Pugh,Caprini,CHA2DS2-VASc,ASA,B
"¿Qué anestésico endovenoso actúa como agonista α2 no selectivo sobre los receptores adrenérgicos α2, su 
biotransformación se efectúa mediante una glucoronización directa y reacciones metabólicas efectuadas por el citocromo 
P 450 y tiene efecto simpaticolítico, ansiolítico, sedante, hipnótico y analgésico?",Dexmedetomidina,Droperidol,Ketamina,Etomidato,A
"Mujer de 53 años, presenta de forma súbita taquiarritmia con pulso mayor a 150X', complejo QRS estrecho irregular, 
acompañada de hipotensión, alteración aguda del estado mental, signos de shock, insuficiencia cardiaca aguda. ¿Cuál 
es la indicación inmediata?",Adenosina,Amiodarona,Adrenalina,Cardioversión sincrónica,D
"Primigesta de 38 semanas, se realiza cesárea segmentaria con anestesia epidural, presentando en el post operatorio 
dolor de espalda y bloqueo motor persistente. ¿Cuál es el diagnóstico?",Hematoma epidural,Lumbalgia,Hernia discal L3- L4,Lesión de ligamento supraespinoso,A
"Varón de 26 años, con traumatismo craneoencefálico y presenta paro cardiaco intraoperatorio. Se desea evaluar la 
actividad cerebral. EEG: enlentecimiento del trazado, que desaparecen las ondas rápidas y predominan las frecuencias 
lentas. ¿Cuál es el diagnóstico?",Hipotensión arterial,Hipoxemia,Isquemia,Hipoxia,D
"Varón de 33 años, PO colecistectomía laparoscópica, mueve las cuatro extremidades a la orden, respira profundamente 
y tose libremente, PA ± 20% del nivel preanestésico, se despierta al llamado, mantiene una SatO2 de 96%. ¿Cuál es la 
puntuación de Aldrete?",10,8,9,7,C
¿Cuál es la técnica de monitorización neurológica invasiva del flujo sanguíneo del sistema nervioso?,Oximetría cerebral,Saturación venosa de oxígeno en el bulbo yugular,Monitorización de la presión parcial de oxígeno tisular,Ecografía doppler transcraneal,C
"Varón de 62 años operado de prostatectomía radical con anestesia general remifentanilo y propofol, que presenta 
temblores en el post operatorio inmediato, debido a:",Recuperación tardía de la medula espinal,Se presenta disminución del consumo de oxígeno,Hipoanalgesia que estimulan los receptores NMDA,Se asocia disminución del gasto cardiaco y bradicardia,C
"La retención urinaria post operatoria puede causar sobredistensión de la vejiga y daño permanente del detrusor, debido 
a:",Hidratación intraoperatoria menor de 750 ml,Administración de fentanilo intraoperatorio,Administración intraoperatoria de anticolinérgicos,Antecedente de incontinencia urinaria,C
