questions,option_A,option_B,option_C,option_D,correct_answer
"Mujer de 56 años con masa cervical tiroidea indolora, a la palpación consistencia pétrea, fija a estructuras adyacentes. 
AP: revela destrucción y sustitución del parénquima tiroideo por colágeno denso similar al coloide, con infiltrado 
inflamatorio crónico, predominantemente por células plasmáticas y linfocitos, eosinófilos dispersos, que afecta también a 
los tejidos conectivos extratiroideo, se observa vasculitis con afectación primaria de las venas. ¿A qué tipo de 
tiroiditis corresponde la descripción?",De Riedel,"De Hashimoto, variante fibrosante",Subaguda,De Quervain,A
¿Qué cambios mamarios se presentan durante el ciclo menstrual en la fase secretora?,Aumento de la producción de estrógeno,Aumento de la densidad del estroma,Menor volumen mamario y contenido de agua,Lobulillos mamarios relativamente inactivos,B
Las ...... en las válvulas cardiacas son la marca distintiva clásica de la ...,vegetaciones / endocarditis bacteriana.,calcificaciones / fiebre reumática.,células de Anichkov / endocarditis bacteriana.,vegetaciones / fiebre reumática.,A
"¿Cuál es la neoplasia ósea benigna formada por espículas óseas reticulares distribuidas de manera uniforme, rodeada 
por esteoblastos y osteoclastos con estroma estrellado celular y estructuras calcificadas prominentes (cementículos)?",Displasia fibrosa,Displasia cemento - ósea,Fibroma osificante psamomatoide,Fibroma osificante,D
"Varón de 58 años con diarrea, baja de peso, adenopatía generalizada. TC: pared intestinal engrosada, aumento de 
tamaño de ganglios linfáticos mesentéricos y retroperitoneales. AP: describe infiltración masiva en lámina propia por 
macrófagos espumosos, daño de las vellosidades, degeneración vacuolar de los enterocitos y presencia de neutrófilos. 
Histoquímica: PAS ( + ). ¿Cuál es el diagnóstico más probable?",Enfemedad de Whipple,Histoplasmosis,Mycobacterium avium intracellulare,Macroglobulinemia,A
¿De qué tumor es característico los nidos de Zellballen?,Tumor miofibroblástico inflamatorio,Papiloma escamoso,Tumor carcinoide,Paraganglioma,D
¿Cuál es una característica del nefroblastoma (tumor de Wilms)?,La mayoría de los casos están asociados a otras afecciones sindrómicas,Se asocia a deleciones y mutaciones puntuales del gen WT1 del cromosoma 13p11,La supervivencia actual es mayor del 90%,En la microscopía lo más característico es un patrón monofásico de blastema indiferenciado,C
"Dentro del espectro de la enfermedad trofoblástica gestacional. ¿Qué entidad corresponde a proliferación neoplásica del 
trofoblasto intermedio?",Mola hidatidiforme,Mola invasiva,Tumor trofoblástico del lecho placentario,Coriocarcinoma,C
"Varón de 18 años, acude por epistaxis espontánea recidivante y secreción nasal. Se reseca tumor de la región 
nasofaríngea, que al estudio histológico se aprecia que está formado por una proliferación submucosa de componente 
vascular con estroma fibroso. ¿Cuál es el diagnóstico más probable?",Hemangioma capilar lobulillar,Pólipo inflamatorio,Angiofibroma nasofaríngeo,Pólipo antrocoanal,C
"¿Qué necrosis se caracteriza por un tipo especial de daño vascular, observado habitualmente en reacciones inmunitarias 
que afectan a los vasos sanguíneos y se produce normalmente cuando se depositan complejo antígeno - anticuerpo en 
las paredes arteriales, junto con las proteínas plasmáticas generan una imagen rosa brillante?",Grasa,Coagulativa,Fibrinoide,Licuefactiva,C
