questions,option_A,option_B,option_C,option_D,correct_answer
En el estudio de ecocardiografía de un niño. ¿Cuál es el mejor plano para evaluar derrame pericárdico?,Subcostal eje largo,Apical,Paraesternal,Supraesternal,A
"En radiografía de manos: disminución de los espacios articulares, esclerosis ósea subcondral, quistes subcondrales y 
osteofitos subperiósticos, corresponde a...",artritis reumatoidea.,enfermedad de Paget ósea.,artropatía degenerativa.,artritis psoriásica.,C
En la ecografía Doppler. ¿Cuál es un signo específico de trombosis tumoral maligna en la vena porta?,Trombo hiperecogénico,Dilatación venosa,Recanalización post tratamiento,Arterialización portal,D
"En el estudio TC de obstrucción intestinal por vólvulo, la torsión del mesenterio, donde las asas dilatadas tienen 
disposición radial en el plano ortogonal al eje de rotación, convergiendo los vasos en el punto central, adquiriendo una 
morfología característica ""en remolino"" se denomina signo...",del pico.,de la rueda.,de las heces.,de doble pared.,B
"Mujer de 20 años con infecciones urinarias a repetición y dolor lumbar. Urografía excretora: dilatación quística del 
segmento terminal del uréter. ¿Cuál es el diagnóstico más probable?",Megauréter,Ureterocele,Divertículo,Estenosis ureteral,B
¿Qué tipo de atelectasia se produce por fibrosis pulmonar?,Adhesiva,Reabsorción,Relajación,Cicatrización,D
"En el protocolo tomográfico del estudio de las lesiones traumáticas del parénquima esplénico; éstas se evalúan mejor en 
la fase:",Arterial,Tardía,Equilibrio,Venosa,D
El método diagnóstico en disección aórtica aguda que tiene una sensibilidad y especificidad cercana al 98% es:,Ecografía,Radiografía,Resonancia,Tomografía,D
"Varón de 25 años, con trauma abdominal cerrado, estable, en el que se sospecha lesión del sistema colector renal 
derecho. ¿Cuál es la fase dentro del protocolo tomográfico recomendado?",Venosa,Tardía,Arterial,Portal,B
"¿Cuál es el estudio radiológico de primera línea para valorar la escala ASPECTS, en el paciente en código ictus?",TC sin contraste,RMN perfusión,Angiografía,Espectroscopía,A
¿Cuál es el método de elección para el diagnóstico de coartación de aorta en pediatría?,Angio TC,Angio RMN,Radiografía de tórax,Ecocardiografía,D
"En el estudio de resonancia: masa vascular que separa la arteria carótida externa de la interna, con realce dinámico, 
vacíos de flujo vasculares serpenteantes o puntiformes en grano de pimienta corresponde a...",schwanoma.,paraganglioma.,neurofibroma.,ganglio yugulodigástrico.,B
¿Cuáles son los tumores intraxiales más frecuentes?,Metástasis,Schwanomas,Gliomas,Neurofibromas,C
"En el diagnóstico del neumoperitoneo, la interpretación tomográfica se realiza utilizando...",ventana mediastínica.,contraste oral.,contraste endovenoso.,ventana pulmonar.,D
"En la radiografía de displasia del desarrollo de la cadera. ¿Cómo se llama la línea curva que discurre desde la parte 
medial del cuello femoral hasta el borde inferior de la rama superior del pubis?",Perkins,Shenton,Hilgenreiner,Índice acetabular,B
"En la ecografía de tórax, la ausencia de deslizamiento pulmonar, presencia de líneas A y ausencia de líneas B. ¿Cuál es 
el diagnóstico más probable?",Hiperinsuflación pulmonar,Bullas,Neumotórax,Atelectasia,C
"Paciente con antecedente de NM de partes blandas en muslo derecho, tratado con cirugía, radioterapia y quimioterapia. 
RMN T2: tejido hiperintenso asociado a masa. RMN T1 con contraste: masa sin realce. ¿Cuál es el diagnóstico más 
probable?",Recidiva,Necrosis,Cambios post tratamiento,Infección,B
¿Cuál es el método de elección para diagnosticar ruptura de prótesis mamaria intracapsular?,Mamografía,Ecografía,Tomografía,Resonancia,D
"¿Cuál es el mejor método diagnóstico en osteomielitis para identificar abscesos y diferenciar entre infección ósea o de 
partes blandas?",Resonancia,Gammagrafía,Tomografía,Radiografía,A
"¿Cuál es el método de elección para evaluar la extensión local de neoplasia ginecológica maligna y anomalías congénitas 
en cavidad pélvica?",Tomografía,Ecografía,Radiografía,Resonancia,D
"¿Qué maniobra podemos utilizar en el protocolo de exploración de RMN cardiaca, para reducir los artefactos secundarios 
a dispositivo cardiovascular electrónico implantable (DCEI) localizado en el lado izquierdo del paciente?",Inspiración profunda,Reducir la distancia dispositivo-área de exploración,Bajar el brazo homolateral,Elevar el brazo contralateral,A
¿Cuál es el método diagnóstico que mejor representa a las trompas de Falopio?,Resonancia,Histerosalpingografía,Tomografía,Ecografía,B
"En TC de tórax. ¿Cuál es el patrón que presenta un engrosamiento de los septos sobre una opacidad en vidrio 
deslustrado?",Nodular,Crazy paving,Lineal-reticular,Alveolar,B
