questions,option_A,option_B,option_C,option_D,correct_answer
En la Enfermedad de Kawasaki en niños:,La resistencia a la IGIV se presenta en un 15% de casos,La puntuación de Kobayashi es de aplicación multirracial,La dosis de carga de IGIV es de 4 g/Kg en infusión de 4 horas,La dosis de carga de IGIV es de 4 g/Kg en infusión de 12 horas,A
¿Cuál de los siguientes es un criterio mayor para el diagnóstico de fiebre reumática aguda?,Artralgia,Fiebre,Eritema marginado,Faringitis,C
"Niño de 7 años desde hace 5 días presenta lesiones dérmicas rojizas, pruriginosas asociado a febrículas. Antecedentes: 
Trisomía 21, cardiopatía congénita corregida y alergia alimentaria. Madre refiere que fue diagnosticado de urticaria, y 
recibió antihistamínicos sin presentar mejoría. Examen: máculas eritematosas a predominio de flexuras, zonas 
periorificiales, comisuras labiales con signos de inflamación y zonas de descamación. ¿Cuál es el diagnóstico?",Impétigo ampolloso,Eritema multiforme,Necrolisis epidérmica tóxica,Enfermedad de Ritter,D
"Escolar de 8 años acude a emergencia por fiebre de 36 horas, con leucemia en tratamiento de consolidación, última 
quimioterapia hace 5 días. ¿Cuál es el diagnóstico más importante?",Relapso de enfermedad,Neutropenia febril,Reacción a quimioterapicos,Síndrome de lisis tumoral,B
"Adolescente de 12 años, que luego de discusión con la madre ingiere 10 tabletas de paracetamol, presentando dos horas 
después náusea y vómitos, por lo que es llevada a emergencia. ¿Cuál es el fármaco de elección para tratar esta 
intoxicación?",Naloxona,N-acetilcisteina,Dimenhidrinato,Omeprazol,B
"Niña de 5 años, radica en zona tropical con malas condiciones sanitarias, traída por presentar disminución del apetito. 
Examen: no contributorio. Laboratorio: eosinofilia y confirma presencia de un parásito. Sometida a tratamiento, respondió 
muy bien a prazicuantel en dosis única. ¿De qué parásito se trata?",Enterobius vermicularis,Necator americano,Giardia lamblia,Hymenolepis nana,D
"Lactante de 2 años que presenta diarrea crónica y lesiones en región perineal. Examen: alopecia, discreto edema facial, 
marcado eritema y zonas esfaceladas en región perineal. Laboratorio: fosfatasa alcalina: cero. ¿Cuál es el diagnóstico 
más probable?",Candidiasis sistémica,Diátesis cutánea,Eccema atópico,Déficit de zinc,D
El......produce síndrome de Loeffler y obstrucción de vías biliares.,Taenia solium,Taenia saginata,Necator americanus,Ascaris lumbricoides,D
"La causa más frecuente de traumatismo craneoencefálico no penetrante en lactantes menores de 1 año es maltrato 
infantil y frecuentemente la exploración física revela...",hemorragias intracerebral.,hemorragias retinianas.,equimosis en zonas de traumatismo.,infartos cerebrales.,B
"Adolescente de 15 años con asma bronquial, traído al hospital por su madre, sin respuesta al tratamiento instalado. 
Examen: T°: 36.5° C, FR: 35 X´, FC: 120 X´, SatO2: 94%. Tórax: MV disminuido en AHT, sibilantes aislados; CV: 
taquicardia sinusal. Resto normal. El médico concluye que se trata de un asma grave no controlado. ¿Qué tratamiento 
debe considerar?",Fármaco biológico,GCI a dosis media + LABA,GCI a dosis alta,GCI a dosis media+ ARLT,A
La deficiencia en......es la principal indicación para inducir inmunidad pasiva:,eosinófilos,células plasmáticas,linfocitos T,linfocitos B,D
¿Cuál es la localización más frecuente de la denominada enfermedad de mucorales?,Gastrointestinal,Senos paranasales y cerebro,Genitourinario,Pulmonar,B
"Niño de 8 años, traído al centro de salud por presentar fiebre alta y dolor de garganta desde hace 2 días. Examen: T°: 
38.5 °C, FC: 120 X´, FR: 24 X´. orofaringe: marcado eritema en faringe, ganglios en región cervical pequeños y dolorosos. 
Resto de examen no contributorio. ¿Cuál es el diagnóstico probable?",Faringitis por herpes virus,Herpangina,Faringitis estreptocócica,Mononucleosis infecciosa,C
"Madre cuyo primer hijo tiene diagnóstico de anemia falciforme y acude a consulta a preguntar si su hija de 1 año también 
es portadora de la misma enfermedad. ¿Qué examen solicita?",Aspirado de médula ósea para detectar Hb fetal,Hemograma para visualizar hematíes en forma de semiluna,Test de stress del eritrocito para evidenciar alteración de membrana,Electroforesis de hemoglobina para detectar Hb S,D
En relación a la enfermedad neumocócica invasiva en niños...,"los síndromes menos frecuentes son otitis media, sinusitis y neumonía.",es 30-100 veces más frecuente en los niños con anemia falciforme y otras hemoglobinopatías.,"los serotipos 6A, 6B, 9V, 14, 19A, 19F y 23F presentan mayor sensibilidad a la penicilina.",las vacunas actuales eliminan todas las infecciones neumocócicas invasivas.,B
"En el hígado: ¿Qué parásito provoca formación de granulomas como lesión histopatológica característica, conteniendo 
eosinófilos, células gigantes multinucleadas y colágeno?",Ancylostoma duodenale,Necator americano,Toxocara canis,Strongyloides stercoralis,C
