questions,option_A,option_B,option_C,option_D,correct_answer
"Varón obeso de 50 años, sometido a restitución de tránsito intestinal bajo anestesia general inhalatoria, con arritmia 
cardiaca controlada con procainamida. En URPA: paciente dormido, con poco esfuerzo ventilatorio, SatO2: 90%, FC: 85 
X', PA: 110/50 mmHg, FR: 5 X'. ¿Cuál es el diagnóstico más probable?",Bloqueo neuromuscular residual,Paro respiratorio,Edema en vías respiratorias,Larigoespasmo,A
¿Cuál es el tratamiento para la fibrilación ventricular como trastorno post operatorio debido a la isquemia?,Administración de volumen,Sedación,Cardioversión,Uso de agonista ß2,C
En la clasificación de Hunt-Hess; el grado I corresponde a...,obnubilación o déficit focal leve.,estupor y hemiparesia.,"cefalea moderada, rigidez de nuca.","cefalea mínima, ligera rigidez de nuca.",D
¿Cuál es el factor que contribuye a la prolongación del bloqueo neuromuscular no despolarizante?,Alcalosis respiratoria,Antagonistas de los canales de calcio,Hipertermia,Antiinflamatorios no esteroideos,B
"En el monitoreo de presión arterial invasiva en cirugía cardiaca, se evidencia: pulso bisferiens, presión de pulso ancho. 
¿Cuál es la patología asociada?",Estenosis aórtica,Insuficiencia aórtica,Miocardiopatía hipertrófica,Insuficiencia sistólica del ventrículo izquierdo,B
"Mujer de 38 años, presenta disnea durante el ejercicio de forma gradual. Examen: PA: 120/70 mmHg; monitoreo 
hemodinámico: presión de aurícula izquierda aumentada, onda v variable. Ecocardiograma: VI muy aumentado, AI 
aumentada. ¿Cuál es la patología?",Insuficiencia aórtica aguda compensada,Estenosis aórtica crónica compensada,Estenosis mitral aguda descompensada,Insuficiencia mitral crónica descompensada,D
"Varón de 35 años sometido a lobectomía superior izquierda, presenta en el preoperatorio: hipoventilación (+), alteraciones 
de la difusión (++), alteración de ventilación perfusión (+++), cortocircuito (-). ¿Cuál es la patología asociada?",Bronquitis crónica,Neumonía,Asma,Enfisema,D
"Niño de 14 años, con insuficiencia renal crónica, sometido a cirugía de mano. ¿Cuál es la técnica anestésica más 
recomendada?",Bupivacaína,Evitar usar remifentanilo,Anestesia inhalatoria,Bloqueo periférico,D
"¿Qué indicación se recomienda en la evaluación preoperatoria de un paciente con diabetes mellitus tipo I, sometido a una 
cirugía?",Interrupción total de la insulina de acción larga,Administrar dosis mínima de la dosis matutina de insulina lenta,Colocar las dosis normales de insulina,Cambiar a antidiabéticos orales,B
"¿Cuál es el anestésico local con potencia elevada, conducción: 8, hidrofobicidad: 3.420?",Bupivacaína,Ropivacaína,Lidocaína,Tetracaína,A
"Varón de 80 años, es sometido a RTU con anestesia regional, sin complicaciones; se evidencia sangrado quirúrgico 
500 ml, se utilizó solución de glicina 6 a 8 litros; a las 4 horas post cirugía se evidencia: paciente agitado con trastorno del 
sensorio. Laboratorio: Na+ 110 mmol/l, K 4 mmol/l. ¿Cuál es el diagnóstico más probable?",Insuficiencia suprarrenal aguda,ACV isquémico,Mielinolisis extrapontina,Síndrome de la resección transuretral de la próstata,D
¿Cuál es el problema más importante en una discectomía cervical anterior?,Hemorragia considerable,Edema postoperatorio,Intubación con paciente consciente,Alteración de la presión de perfusión,B
"Niño de 7 años, con antecedente de hipoplasia mandibular sometido a cirugía de abdomen. ¿Cuál es la técnica anestésica 
adecuada?",Bloqueo periférico,General con IOT,Regional,General con máscara laríngea,C
