questions,option_A,option_B,option_C,option_D,correct_answer
El Incremento del tamaño ventrículo laterales por incapacidad de reabsorber el LCR es la definición de hidrocefalia...,comunicante.,obstructiva.,exvacuo.,traumático.,A
¿En qué tipo de meningitis no se altera la glucosa en el LCR?,Tuberculosa,Piógena aguda,Viral aguda,Criptococócica,C
"En los distritos más alejados de un ámbito sanitario se reporta incremento de casos de enfermedad diarreica aguda con 
deshidratación, en menores de 5 años. La autoridad sanitaria dispone envío de sales de rehidratación oral únicamente a 
los distritos más cercanos debido a falta de presupuesto para transporte. ¿Qué principio ético y de derecho a la salud 
pública se está vulnerando?",Confidencialidad,No maleficencia,Autonomía,Justicia,D
"¿Cuál es el estudio radiológico de primera línea para valorar la escala ASPECTS, en el paciente en código ictus?",RMN perfusión,TC sin contraste,Angiografía,Espectroscopía,B
"Médico informa a su paciente varón de 55 años que su diagnóstico es cáncer pulmonar; indicándole que debe llamar a 
su familiar para brindarles los detalles del manejo de su caso; el paciente responde que no desea informar a nadie. ¿Qué 
derecho ejerce el paciente?",No maleficencia,Autonomía,Justicia,Beneficencia,B
"En pacientes con trauma craneoencefálico, de acuerdo al hallazgo tomográfico o la condición clínica. ¿Cuál es la conducta 
a seguir?","Hematomas epidurales y subdurales, el tratamiento inicial es conservador",En pacientes con Glasgow 8 o menor no se favorece con el monitoreo de la PIC post operatorio,Todos los pacientes con trauma craneoencefálico se deben colocar monitoreo PIC,Cualquier coagulo o contusión mayor de 30 ml es operable,D
¿Cuál es el tumor encefálico que se puede diseminar por vía hematógena?,Astrocitoma anaplásico,Glioblastoma multiforme,Ependimoma,Meduloblastoma,D
"Mujer de 30 años acude por cefalea súbita e intensa que la despierta en la noche seguida de trastorno de sensorio. 
Examen: despierta, pero con tendencia al sueño, rigidez de nuca y parálisis del III par craneal. ¿Cuál es la primera 
posibilidad diagnóstica?",Infarto cerebral,Meningitis aguda,Tumor cerebral,Hemorragia subaracnoidea,D
"Varón de 43 años con traumatismo cráneo-encefálico grave y fractura de base de cráneo, desarrolla un aneurisma 
cavernoso. ¿En qué consiste el tratamiento de un aneurisma traumático en la arteria carótida interna en su segmento 
intercavernoso?",Embolización,Stent endovascular,Clipaje,Resección,B
¿Cuál es el problema más importante en una discectomía cervical anterior?,Edema postoperatorio,Hemorragia considerable,Intubación con paciente consciente,Alteración de la presión de perfusión,A
¿Cuáles son los hallazgos clínicos en la mielopatía cervical?,Hipotonía e hiporreflexia,Compromiso motor es menor en miembros inferiores,Leve compromiso de esfínteres,"Espasticidad, hiperreflexia, Babinski y Hoffman",D
"¿Cuál de los siguientes tumores es el que se asocia más frecuentemente con vasos de derivación optociliar en la papila 
óptica?",Hemangioma cavernoso de la órbita,Meningioma del nervio óptico,Melanoma maligno de coroides,Glioma del nervio óptico,B
¿Cuál es el propósito de la cirugía en las hernias cervicales?,Laminectomía descompresiva para liberar el saco dural por vía posterior,Controlar el dolor y artrodesis,Descomprimir la raíz afectada tanto por vía anterior o posterior,Estabilizar la columna cervical,C
¿Cuál es la causa más frecuente de absceso cerebral por diseminación contigua?,Absceso hepático,Septicemia,Neumonía,Senos paranasales,D
"Mujer de 40 años, ingresa en coma a UCI por HSA Fisher IV, se diagnostica aneurisma top de basilar roto; tras su 
recuperación se decide planificar tratamiento quirúrgico. ¿Cuál de los siguientes es el acceso indicado para los 
aneurismas de arteria basilar más comunes?",Sub temporal,Orbito cigomático,Suboccipital,Interhemisférico posterior,B
"Varón de 65 años, con hipertensión intracraneal reciente. Fondo de ojo: edema de papila bilateral con dificultad de ver 
los vasos sanguíneos, hemorragias retinianas peripapilares y papilares, venas retinianas dilatadas y tortuosas. ¿Cuál es 
la manifestación que se presenta al levantarse súbitamente?",Retracción palpebral,Midriasis espontánea,Pérdida de visión transitoria,Proptosis pulsátil bilateral,C
¿Cuál es la sutura mayormente afectada en la craneosinostosis?,Coronal,Sagital,Metópica,Lambdoidea,B
"Mujer de 35 años con cefalea crónica, se diagnosticó aneurisma de la pericallosa; se decide por tratamiento quirúrgico. 
¿Cuál de los siguientes es el acceso indicado para los aneurismas de arteria pericallosa más comunes?",Pterional,Orbito cigomático,Sub temporal,Interhemisférico anterior,D
¿Dónde se colocan los dispositivos para monitoreo de la PIC durante la cirugía?,Intraventricular e intraparenquimal,En el espacio subgalear,En la fosa posterior,En los senos venosos cerebrales,A
¿Cuáles son los hallazgos tomográficos más frecuentes del absceso cerebral?,Imagen en semiluna hiperdensa en el espacio epidural,Imagen hipodensa sin efecto de masa,Dilatación de ventrículos e hidrocefalia,"Captación en anillo, edema alrededor de la lesión y desviación de la línea media",D
"En niños sin antecedente patológico. ¿Cuál es el hallazgo más frecuente a nivel ocular que induce a pensar en maltrato 
infantil?",Hemorragia retiniana,Luxación del cristalino,Desprendimiento de retina,Laceración palpebral,A
¿Cómo se forman los hematomas subdurales post trauma?,Sangrado arterial de arteria meníngea,Por ruptura de vasos venosos puente entre el encéfalo y senos venosos,Ruptura de seno longitudinal,Ruptura de vasos arteriales corticales,B
¿Cuál de las siguientes afirmaciones orientará al diagnóstico de neuropatía óptica isquémica anterior arterítica?,Buen pronóstico visual,Dolor a la palpación de la arteria temporal,Velocidad de sedimentación globular normal,Hemianopsia bitemporal,B
"Los meningiomas representan el 15% al 20% de todos los tumores intracraneales primarios. ¿Cuál es el porcentaje de 
recidiva después de la resección amplia pero parcial (Simpson IV)?",5%,10%,No recidivan,85%,D
¿Cuál es la prueba inicial de elección para la HSA?,Punción lumbar,Tomografía cerebral sin contraste,Angiotomografía cerebral,Tomografía cerebral con contraste,B
¿Qué inclusiones citoplasmáticas se encuentran en la enfermedad de Parkinson?,Cuerpo de Hirano,Cuerpos de Lewis,Cuerpo de negri,Ovillos neurofibrilares,B
La cirugía microdescompresiva en la neuralgia del trigémino; consiste en: craneotomía suboccipital…,con microscopio y se procede a la lesión parcial del nervio trigémino.,"con microscopio, se separa la arteria que está adherida al nervio.",con teflón se procede a envolver al nervio.,"se procede al lavado con suero fisiológico, tanto el nervio como el vaso arterial.",B
"Neonato con convulsiones e hidrocefalia. Examen de fondo de ojo: cicatriz corioretinal en AO. Tomografía: calcificaciones 
intracraneales. ¿Cuál es la causa más probable?",Toxoplasmosis,Displasia retiniana,Retinopatía del prematuro,Acromatopsia,A
"Varón de 56 años, cursa con HSA por aneurisma de top basilar se somete a tratamiento endovascular con prótesis 
derivadora de flujo. ¿Cuál es la causa principal de la morbilidad en los aneurismas de arteria basilar tratados con diversor 
de flujo?",Resangrado agudo,Resangrado diferido,Afectación de ramas perforantes,Vasoespasmo,C
"Varón de 55 años que acude por primer episodio de crisis generalizada tónico-clónica. Se realiza TC craneal que evidencia 
lesiones sugestivas de metástasis cerebrales. ¿Cuál de las siguientes características considera menos típicas respecto 
a las metástasis cerebrales en pruebas de imagen?",Localización hemisférica en la interfase cortico-subcortical,Edema vasogénico desproporcionado al tamaño de la lesión,"Carácter infiltrativo, difuso, con extensión a través del cuerpo calloso en alas de mariposa",Realce homogéneo de contraste intravenoso,C
"Durante el acto quirúrgico de una extirpación transesfenoidal de un tumor en hipófisis, se evidencia: FC: 85 X', PA: 
115/70 mmHg, SatO2: 98%, diuresis 4000 ml en una hora. Laboratorio: hiperosmolaridad sérica e hipoosmolaridad en 
orina. ¿Cuál es la indicación a seguir?",Mantener hidratado,Dextrosa,Insulina en infusión,Solución hipertónica 3%,A
¿Cuál es el tratamiento indicado en el absceso epidural craneal?,Aspiración continua y antibióticos intraventriculares,Derivación ventrículoperitoneal y antibióticos EV,Debridamiento del hueso osteomielítico y ATB prolongado,Antibioticoterapia de amplio espectro prolongado,C
¿Cuál de las fracturas cervicales solo requiere manejo conservador?,Estallido con ocupación del canal,Cuerpo vertebral sin invasión del canal,Lesión medular completa o progresiva,Fractura y luxación unifacetaria,B
"En la escala de clasificación clínica de Hunt y Hess, post HSA por ruptura de aneurisma. ¿Qué significa grado 3?","Somnolencia, confusión o déficit focal leve","Cefalea de moderada a intensa, rigidez de la nuca, ± sólo parálisis del par craneal","Estupor, hemiparesia de moderada a grave, posible rigidez de descerebración temprana","Coma profundo, rigidez de descerebración, aspecto moribundo",A
¿Cuál es la característica de la malformación arteriovenosa?,Se manifiesta en adultos mayores,Solo tiene un drenaje venoso superficial,No presenta convulsiones,Es una acumulación anormal congénita de vasos sanguíneos,D
¿Cuál es el tumor cerebral más frecuente en pediatría?,Meduloblastoma,Ganglioglioma,Meningioma,Papiloma del plexo coroideo,A
¿Qué es lo primero que debe hacerse en un traumatismo craneoencefálico severo?,Radiología funcional de columna cervical,"Asegurar la vía respiratoria, ventilación adecuada, aplicar ABC",Dexametasona EV,Aplicar escala de Glasgow,B
¿Cuál es el tumor cerebral más frecuente en adultos?,Meningioma,Metástasis,Glioblastoma multiforme,Tumor hipofisiario,B
La escala ASPECTS se utiliza para valorar la extensión de isquemia precoz en...,el tronco encefálico.,el cerebelo.,infartos lacunares.,el territorio de la arteria cerebral media.,D
¿Cuál es la etiología de la infección oportunista del SNC más frecuente en el paciente con SIDA?,Staphylococcus aureus,Pseudomonas aeruginosa,Candida albicans,Toxoplasma gondii,D
"Varón de 40 años sufre accidente de tránsito y se golpea la cabeza, después de una hora presenta cefalea, vómitos y 
compromiso de sensorio. ¿Cuál es la conducta a seguir?",Craneotomía descompresiva,Punción lumbar,Monitoreo Neurológico y observación,Tomografía cerebral,D
¿Qué medidas tomaría para la reducción de drenaje por gravedad de la PIC en hipertensión intracraneal persistente?,Trendelenburg,Elevación de miembros inferiores,Hiperventilación importante,Trendelenburg inverso,D
¿Qué caracteriza la clínica de la HSA?,Cefalea progresiva asociada a signos focales,Hemiparesia progresiva con severo compromiso de conciencia,"Cefalea intensa repentina con o sin vómitos, con o sin deterioro neurológico",Cefalea hemicraneal de gran intensidad con vómitos durante varios días,C
¿Cuál es la indicación más frecuente de la fusión vertebral instrumentada?,Subluxación del cuerpo vertebral,Hernia del núcleo pulposo lumbar,Canal estrecho lumbar,Hernia del núcleo pulposo asociado a dolor radicular,A
¿Cuál es la posición ideal para cirugía de tumor de médula espinal?,Trendelenburg,Litotomía,Decúbito ventral,Decúbito prono,D
"En la etiología de la neuralgia del trigémino es la compresión por un vaso arterial pegado al nervio trigémino, el tratamiento 
es la micro descompresión vascular. ¿Cuál es la arteria que comprime al nervio?",Cerebelosa inferior,Cerebelosa superior,Cerebral posterior,Vertebral,B
¿Cuál de las siguientes alternativas caracteriza al síndrome de Horner en el lado afectado?,Retracción del párpado superior,Sudoración normal,Midriasis paralítica,Anisocoria con miosis,D
¿Qué astrocitoma se desarrolla en niños?,Fibrilar,Anaplásico,Pilocítico,Glioblastoma multiforme,C
"Varón de 26 años, sufre accidente automovilístico y es llevado a emergencia. Examen: paciente en hiperventilación, 
Glasgow 5, se evidencia signos de descerebración, pupilas midriáticas, no reactivas, abolición de reflejos oculomotores 
y oculovestibulares. Según lo encontrado. ¿Cuál es el diagnóstico?",Inconsciencia psicógena,Lesión hemisférica con herniación troncal,Disfunción cerebral difusa,Lesión primaria de SRAA,B
"¿Cuál es la conducta a seguir en el traumatismo cráneo encefálico con fractura lineal en la región temporal con examen 
neurológico normal?",Tratamiento sintomático y alta,Monitoreo de presión intracraneal,Monitoreo neurológico,Punción lumbar,C
"¿Cuál de los siguientes puntos se localiza a 6 cm superior a inion y 3-4 cm lateral de línea media, siendo una referencia 
fundamental para la inserción de catéteres ventriculares con el paciente en posición prono?",De Frazier,De Mac Carty,De Kocher,De Keen,A
"Menor de 8 años con cefalea persistente; RM: masa tumoral ubicada en el vermis cerebeloso. ¿Cuál es la primera 
posibilidad diagnóstica?",Meduloblastoma,Neuroblastoma,Astrocitoma,Oligodendroglioma,A
¿Cuál es la causa más probable de parálisis del III par con respuesta pupilar normal?,Diabetes,Aneurisma,Neoplasia,Hematoma,A
"Varón de 40 años, con infarto del lóbulo parietal izquierdo. ¿Cuál es la cuadrantanopsia que afecta al ojo derecho?",Nasal superior,Nasal inferior,Temporal inferior,Temporal superior,C
"Varón de 20 años que hace 2 horas sufre agresión con objeto contuso en cara. Examen: equimosis nasogeniano, ojo 
izquierdo enoftalmos, limitación de los movimientos oculares, diplopía y crepitación periorbitaria. ¿Cuál es la sospecha 
diagnóstica?",Fractura de techo de órbita,Hematoma de órbita,Lesión II par craneal,Fractura de piso de órbita,D
¿Cuál es el agente etiológico de la enfermedad de Creutzfeldt-Jacob?,Priones,Virus JC,VIH,Virus de varicela-zóster,A
¿Cuáles son los tumores intraxiales más frecuentes?,Gliomas,Metástasis,Schwanomas,Neurofibromas,A
¿Cuál es la célula cromófila de la hipófisis anterior que se caracteriza por la presencia de gránulos acidófilos?,TSH,FSH-LH,GH,ACTH,C
¿Cuál es la secuencia de RMN que valora la orientación e integridad de los fascículos axonales de la sustancia blanca?,Tractografía,Funcional,Perfusión,Espectroscopía,A
¿Qué tratamiento está indicado para el edema posintubación endotraqueal?,Prednisona,Fenilefedrina,Epinefrina racémica,N-acetilcisteina,C
"Varón de 30 años con TEC, por caída de altura de 5 metros, con Glasgow 14, a las pocas horas deterioro de nivel de 
conciencia por lo que es intubado; Examen: otorragia derecha, anisocoria por midriasis pupilar derecha, ¿Cuál es el 
diagnóstico?",Hematoma epidural temporal derecho,Contusión cerebral severa,Perforación timpánica,Lesión del III par derecho por lesión de tronco cerebral,A
